Player,Matches,Overs,Runs,Wickets,Econ,SR,Bowling avg
d wiese,15,49.0,427,17.0,8.714285714285714,17.470588235294116,26.294117647058822
dale willem steyn,95,363.0,2393,105.0,6.59228650137741,20.904761904761905,24.6
daniel james harris,2,3.0,26,,8.666666666666666,,
daniel luca vettori,34,129.0,871,34.0,6.751937984496124,22.852941176470587,26.294117647058822
daniel richard sams,16,60.0,487,15.0,8.116666666666667,24.133333333333333,35.2
daniel trevor christian,49,147.0,1148,40.0,7.809523809523809,22.175,30.45
darren julius garvey sammy,19,39.0,339,14.0,8.692307692307692,17.0,25.285714285714285
darren richard smith,46,89.0,781,27.0,8.775280898876405,20.185185185185187,30.55555555555556
daryl john mitchell,4,8.0,94,1.0,11.75,48.0,97.0
david andrew warner,1,,1,,,,
david du preez,2,7.0,53,4.0,7.571428571428571,11.0,14.0
david john hussey,26,52.0,467,10.0,8.98076923076923,31.7,48.5
david jonathan willey,11,36.0,267,7.0,7.416666666666667,30.857142857142858,39.57142857142857
deepak jagbir hooda,33,62.0,518,10.0,8.35483870967742,37.3,53.5
deepak lokendrasingh chahar,81,278.0,2137,79.0,7.68705035971223,21.21518987341772,28.39240506329114
devraj kalyankrishna,3,8.0,85,2.0,10.625,24.0,44.0
dewald brevis,1,,8,1.0,,3.0,8.0
dhawal ganesh nalkande,6,14.0,143,6.0,10.214285714285714,14.0,25.0
dhawal sunil kulkarni,92,297.0,2354,91.0,7.925925925925926,19.747252747252748,27.615384615384617
dilhara lokuhettige anton geoffrey zoysa,3,11.0,93,2.0,8.454545454545455,34.5,50.0
dinesh karthik muthuswami,6,14.0,101,4.0,7.214285714285714,21.0,27.0
dinesh salunkhe,5,7.0,69,1.0,9.857142857142858,48.0,80.0
dirk peter nannes,29,107.0,732,38.0,6.841121495327103,17.05263157894737,21.44736842105263
diwesh bhaktal ravi teja,2,3.0,28,1.0,9.333333333333334,18.0,28.0
djm short,2,3.0,19,1.0,6.333333333333333,18.0,23.0
dominic john thornely,4,7.0,38,3.0,5.428571428571429,14.0,13.333333333333334
douglas andrew john bracewell,1,4.0,31,3.0,7.75,8.0,10.666666666666666
douglas ernest bollinger,27,96.0,661,43.0,6.885416666666667,13.44186046511628,16.651162790697676
dwaine pretorius,7,25.0,222,7.0,8.88,21.428571428571427,34.57142857142857
dwaraka prasad vijaykumar,9,25.0,190,4.0,7.6,38.5,51.25
dwayne john bravo,158,520.0,4160,207.0,8.0,15.159420289855072,21.42995169082125
fayyaz ahmed fazal,2,2.0,20,1.0,10.0,12.0,20.0
fazalhaq farooqi,7,25.0,217,6.0,8.68,25.33333333333333,38.16666666666666
fidel henderson edwards,6,23.0,140,6.0,6.086956521739131,24.0,26.666666666666668
finn allen,4,15.0,135,2.0,9.0,45.0,68.0
francois du plessis,1,1.0,16,,16.0,,
gagandeep singh,4,14.0,141,3.0,10.071428571428571,28.0,47.333333333333336
ganapathi hanuma vihari,6,7.0,46,1.0,6.571428571428571,42.0,48.0
gareth berg hogg,21,76.0,548,25.0,7.2105263157894735,18.48,23.4
george henry simpson garton,5,15.0,127,3.0,8.466666666666667,30.33333333333333,45.333333333333336
gerhardus christiaan viljoen,6,23.0,210,8.0,9.130434782608695,17.25,28.625
glenn donald mcgrath,14,54.0,351,14.0,6.5,23.214285714285715,26.142857142857142
glenn donald phillips,4,5.0,39,2.0,7.8,15.0,20.0
glenn james maxwell,79,157.0,1275,41.0,8.121019108280255,23.02439024390244,31.97560975609756
graeme coetzee,10,33.0,318,13.0,9.636363636363637,15.461538461538462,27.46153846153846
graham robert napier,1,4.0,27,1.0,6.75,24.0,28.0
gs sandhu,2,8.0,82,1.0,10.25,48.0,86.0
gulbadin naib,1,1.0,12,,12.0,,
gurkeerat singh mann,6,13.0,93,5.0,7.153846153846154,15.6,19.4
gurnoor brar,1,3.0,38,,12.666666666666666,,
h sharma,2,5.0,57,,11.4,,
harbhajan singh,160,569.0,3925,161.0,6.898066783831283,21.236024844720497,25.472049689440997
hardik himanshu pandya,93,236.0,2076,70.0,8.796610169491526,20.357142857142858,31.37142857142857
harmeet singh,28,91.0,693,31.0,7.615384615384615,17.870967741935484,24.096774193548388
harpreet brar,39,113.0,875,25.0,7.743362831858407,27.16,36.28
harry frederick gurney,8,27.0,230,7.0,8.518518518518519,23.285714285714285,34.142857142857146
harsh raj shokeen,13,34.0,299,5.0,8.794117647058824,41.2,64.0
harshit rana,19,64.0,556,27.0,8.6875,14.51851851851852,21.85185185185185
hetal vasavada patel,103,360.0,2972,151.0,8.255555555555556,14.52317880794702,21.29139072847682
ic porel,1,4.0,37,1.0,9.25,24.0,42.0
iqbal abdulla,48,153.0,1083,45.0,7.078431372549019,20.444444444444443,25.0
irfan khan pathan,101,340.0,2567,99.0,7.55,20.656565656565657,27.383838383838384
ish sodhi,8,30.0,201,9.0,6.7,20.11111111111111,22.666666666666668
ishan chandrakant pandey,24,77.0,580,19.0,7.532467532467533,24.526315789473685,32.05263157894737
ishant malhotra,1,1.0,23,,23.0,,
ishant vijay sharma,110,384.0,2988,96.0,7.78125,24.385416666666668,33.90625
isuru udana,10,29.0,274,8.0,9.448275862068966,21.75,35.75
